Material Name,Material Type,Material Subtype,Inventory Spaces,Growbed Spaces,Wearable Slot,Storage Provided,Crafted At,Number Produced,Description
Scanner Room,Base Piece,Room,,,,,Habitat Builder,1,Locates resources and wrecks within range.
Moonpool,Base Piece,Room,,,,,Habitat Builder,1,Vehicle docking bay.
Observatory,Base Piece,Room,,,,,Habitat Builder,1,Compartment with 360 degree views and low structural integrity.
Hatch,Base Piece,Wall,,,,,Habitat Builder,1,Provides an access point to the habitat.
Window,Base Piece,Wall,,,,,Habitat Builder,1,Observatory window.
Reinforcement,Base Piece,Wall,,,,,Habitat Builder,1,Increases hull strength.
Solar Panel,Base Piece,Exterior Module,,,,,Habitat Builder,1,Build on the ground in the sun to charge (25 power/min).
Thermal Plant,Base Piece,Exterior Module,,,,,Habitat Builder,1,Converts heat to energy.
Power Transmitter,Base Piece,Exterior Module,,,,,Habitat Builder,1,Extends range of power source.
Floodlight,Base Piece,Exterior Module,,,,,Habitat Builder,1,"Industrial, battery-powered lighting, designed for all environments."
Spotlight,Base Piece,Exterior Module,,,,,Habitat Builder,1,Fixed lighting solution.
Exterior Growbed,Base Piece,Exterior Module,,,,24,Habitat Builder,1,"Artificial plant bed, suitable for use on land or in water."
Base-Attached Air Pump,Base Piece,Exterior Module,,,,,Habitat Builder,1,Base-attached device that pumps air into pipes.  Acts as a starting point for a chain of pipes.
Ladder,Base Piece,Interior Piece,,,,,Habitat Builder,1,For connecting two floors.
Water Filtration Machine,Base Piece,Interior Piece,,,,,Habitat Builder,1,Separates water and salt.
Bulkhead,Base Piece,Interior Piece,,,,,Habitat Builder,1,Structural support and can stop water flow.
Vehicle Upgrade Console,Base Piece,Interior Piece,,,,,Habitat Builder,1,Build this in the moonpool to upgrade docked vehicles.
Bioreactor,Base Piece,Interior Piece,,,,,Habitat Builder,1,Composts organic matter into electrical energy.
Nuclear Reactor,Base Piece,Interior Piece,,,,,Habitat Builder,1,Processes nuclear reactor rods.
Alien Containment,Base Piece,Interior Piece,,,,,Habitat Builder,1,Provides optimal conditions for flora and fauna.  Add a hatch to enter.
Fabricator,Base Piece,Interior Module,,,,,Habitat Builder,1,Basic survival fabricator.  Atomically rearranges raw resources into useful objects.
Radio,Base Piece,Interior Module,,,,,Habitat Builder,1,Receive short-range communications.
Medical Kit Fabricator,Base Piece,Interior Module,,,,,Habitat Builder,1,Fabricates a medical kit every 30 minutes.
Wall Locker,Base Piece,Interior Module,,,,30,Habitat Builder,1,Wall-mounted storage locker.
Locker,Base Piece,Interior Module,,,,48,Habitat Builder,1,Locks away things you need to store.
Battery Charger,Base Piece,Interior Module,,,,4,Habitat Builder,1,Can charge up to 4 batteries simultaneously.
Power Cell Charger,Base Piece,Interior Module,,,,2,Habitat Builder,1,Can charge up to 2 power cells simultaneously.
Aquarium,Base Piece,Interior Module,,,,8,Habitat Builder,1,Self-sustaining aquatic habitat.
Modification Station,Base Piece,Interior Module,,,,,Habitat Builder,1,Advanced fabricator for modification of survival equipment.
Basic Plant Pot,Base Piece,Interior Module,,,,4,Habitat Builder,1,Titanium pot containing synthetic soil.
Composite Plant Pot,Base Piece,Interior Module,,,,4,Habitat Builder,1,Designed titanium pot containing synthetic soil.
Chic Plant Pot,Base Piece,Interior Module,,,,4,Habitat Builder,1,Upmarket titanium pot containing synthetic soil.
Interior Growbed,Base Piece,Interior Module,,,,16,Habitat Builder,1,"Artificial plant bed, suitable for interior use only."
Plant Shelf,Base Piece,Interior Module,,,,1,Habitat Builder,1,Wall-mounted plant pot.
Bench,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Simple metal relaxation appliance.  Conserves energy while resting.
Double Bed,Base Piece,Miscellaneous,,,,,Habitat Builder,1,A double bed.
Single Bed,Base Piece,Miscellaneous,,,,,Habitat Builder,1,A single bed.
Desk,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Common starship work desk.
Swivel Chair,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Turns 360 degrees.
Office Chair,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Relaxing and confidence building.
Command Chair,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Commandeering.
Sign,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Sign post with configurable text.
Picture Frame,Base Piece,Miscellaneous,,,,,Habitat Builder,1,"Wall-mounted frame, upload desired image from compatible PDA photo galleries."
Bar Table,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Round glass table.
Trash Can,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Trash cans.
Nuclear Waste Disposal,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Used to dispose of nuclear waste.
Vending Machine,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Vending machine.
Coffee Machine,Base Piece,Miscellaneous,,,,,Habitat Builder,1,"Synthesizes hydrating, caffeine-free coffee."
Counter,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Lab counter.
Wall Planter,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Wall-mounted foliage.  Purely decorational.
Single Wall Shelf,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Single wall shelf.
Wall Shelves,Base Piece,Miscellaneous,,,,,Habitat Builder,1,Wall shelves.
Markiplier Doll,Base Piece,Miscellaneous,,,,,Habitat Builder,1,An unusual doll.
Brain Coral Sample,Coral Sample,,4,,,,,,
Coral Tube Sample,Coral Sample,,1,,,,,,Sample containing CaCO3.  Calcium carbonate is a base ingredient for bleach.
Table Coral Sample,Coral Sample,,1,,,,,,Contains trace precious metals used in computer fabrication.
Fungal Sample,Coral Sample,,1,,,,,,Indigenous flora.  Contains fungal enzymes.
Brain Coral,Coral,,,4,,,Growbed,1,
Giant Coral Tube,Coral,,,,,,,,
Table Coral,Coral,,,,,,,,
Tree Mushroom,Coral,,,,,,,,
Vortex Torpedo,Torpedo,,1,,,,Vehicle Modification Console,2,Generates a localized gravity distortion.  Load this into a vehicle torpedo bay.
Gas Torpedo,Torpedo,,1,,,,Vehicle Modification Console,2,Releases a cloud of toxic gas.  Load this into a vehicle torpedo bay.
Camera Drone,Deployable,,1,,,,Scanner Room,1,A controllable camera.
Arcade Gorge Toy,Placeable,Miscellaneous,1,,,,,,Comforting
Gray Cap,Placeable,Miscellaneous,1,,,,,,Gray cap.  Incompatible with protective environment suits.
Blue Cap,Placeable,Miscellaneous,1,,,,,,Blue cap.  Incompatible with protective environment suits.
Large Sample Flask,Placeable,Lab Equipment,4,,,,,,Useless glass container.
Small Sample Flask,Placeable,Lab Equipment,1,,,,,,A variation on a useless glass container.
Cylindrical Sample Flask,Placeable,Lab Equipment,1,,,,,,A particularly useless glass container.
Electron Microscope,Placeable,Lab Equipment,4,,,,,,Non-functional laboratory equipment.
Fluid Analyzer,Placeable,Lab Equipment,4,,,,,,Non-functional laboratory equipment.
Sample Analyzer,Placeable,Lab Equipment,4,,,,,,Non-functional laboratory equipment.
Carry-all,Placeable,Miscellaneous,4,,,9,,,Common bag for transporting personal items.
Aurora Poster,Placeable,Poster,1,,,,,,Aurora poster.
Natural Selection 2 Poster,Placeable,Poster,1,,,,,,Natural Selection poster.
Keep Calm Poster,Placeable,Poster,1,,,,,,Keep Calm poster.
Prawn Suit Poster - Land,Placeable,Poster,1,,,,,,Prawn Suit poster - land.
Prawn Suit Poster - Sea,Placeable,Poster,1,,,,,,Prawn Suit poster - sea.
Aurora Miniature,Placeable,Miscellaneous,1,,,,,,This ship model looks familiar.
Toy Car,Placeable,Miscellaneous,4,,,,,,Toy car.
Neptune Escape Rocket,Vehicle,Neptune Escape Rocket,,,,,Neptune Launch Platform,1,"Single-seat planetary escape vehicle with life support, adaptive power supply, orbital shield and onboard time capsule.  Three-stage launch separation."
